id	proteins	go_cell	go_mol	go_bio	nb_proteins	mass_mean	length_mean
1.0.2.1	P47169 	sulfite reductase complex (NADPH) [GO:0009337] cytoplasmic stress granule [GO:0010494] 	heme binding [GO:0020037] FMN binding [GO:0010181] 4 iron, 4 sulfur cluster binding [GO:0051539] sulfite reductase (NADPH) activity [GO:0004783] metal ion binding [GO:0046872] 	hydrogen sulfide biosynthetic process [GO:0070814] methionine biosynthetic process [GO:0009086] sulfate assimilation [GO:0000103] sulfur amino acid biosynthetic process [GO:0000097] cysteine biosynthetic process [GO:0019344] 	1	161219.0	1442.0
1.0.2.2	P13382 	replication fork [GO:0005657] alpha DNA polymerase:primase complex [GO:0005658] 	DNA-directed DNA polymerase activity [GO:0003887] 3'-5' exonuclease activity [GO:0008408] metal ion binding [GO:0046872] 4 iron, 4 sulfur cluster binding [GO:0051539] nucleotide binding [GO:0000166] nucleoside binding [GO:0001882] DNA binding [GO:0003677] 	double-strand break repair via nonhomologous end joining [GO:0006303] double-strand break repair [GO:0006302] leading strand elongation [GO:0006272] lagging strand elongation [GO:0006273] DNA replication initiation [GO:0006270] DNA synthesis involved in DNA repair [GO:0000731] RNA-dependent DNA biosynthetic process [GO:0006278] premeiotic DNA replication [GO:0006279] DNA replication [GO:0006260] 	1	166809.0	1468.0
1.0.3	P19659 	mediator complex [GO:0016592] core mediator complex [GO:0070847] 	RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly [GO:0001128] RNA polymerase II activating transcription factor binding [GO:0001102] transcription factor activity, TFIIE-class binding [GO:0001088] TFIIE-class transcription factor binding [GO:0001095] transcription factor activity, RNA polymerase II transcription factor recruiting [GO:0001135] TFIIH-class transcription factor binding [GO:0001097] 	positive regulation of transcription from RNA polymerase II promoter [GO:0045944] RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123] negative regulation of transcription from RNA polymerase II promoter [GO:0000122] positive regulation of invasive growth in response to glucose limitation [GO:2000219] regulation of establishment of protein localization to chromosome [GO:0070202] 	1	120309.0	1081.0
1.0.4	P12868 P40318 	fungal-type vacuole membrane [GO:0000329] HOPS complex [GO:0030897] cytosol [GO:0005829] CORVET complex [GO:0033263] 	zinc ion binding [GO:0008270] ligase activity [GO:0016874] ubiquitin-protein transferase activity [GO:0004842] protein binding, bridging [GO:0030674] 	vesicle docking involved in exocytosis [GO:0006904] endosome organization [GO:0007032] late endosome to vacuole transport [GO:0045324] vacuole fusion, non-autophagic [GO:0042144] histone ubiquitination [GO:0016574] regulation of SNARE complex assembly [GO:0035542] lysosome organization [GO:0007040] intracellular protein transport [GO:0006886] histone catabolic process [GO:0036205] regulation of vacuole fusion, non-autophagic [GO:0032889] vesicle tethering [GO:0099022] Golgi to endosome transport [GO:0006895] 	2	134466.5	1174.0
1.0.4.0	P12868 	fungal-type vacuole membrane [GO:0000329] HOPS complex [GO:0030897] cytosol [GO:0005829] CORVET complex [GO:0033263] 	zinc ion binding [GO:0008270] ligase activity [GO:0016874] ubiquitin-protein transferase activity [GO:0004842] protein binding, bridging [GO:0030674] 	vesicle docking involved in exocytosis [GO:0006904] endosome organization [GO:0007032] late endosome to vacuole transport [GO:0045324] vacuole fusion, non-autophagic [GO:0042144] histone ubiquitination [GO:0016574] regulation of SNARE complex assembly [GO:0035542] lysosome organization [GO:0007040] intracellular protein transport [GO:0006886] histone catabolic process [GO:0036205] regulation of vacuole fusion, non-autophagic [GO:0032889] vesicle tethering [GO:0099022] Golgi to endosome transport [GO:0006895] 	1	117478.0	1029.0
1.0.4.1	P40318 	integral component of endoplasmic reticulum membrane [GO:0030176] nuclear envelope [GO:0005635] Doa10p ubiquitin ligase complex [GO:0000837] integral component of membrane [GO:0016021] nuclear inner membrane [GO:0005637] 	zinc ion binding [GO:0008270] ligase activity [GO:0016874] ubiquitin protein ligase activity involved in ERAD pathway [GO:1904264] ubiquitin protein ligase activity [GO:0061630] ubiquitin-protein transferase activity [GO:0004842] 	ER-associated ubiquitin-dependent protein catabolic process [GO:0030433] 	1	151455.0	1319.0
1.0.5	P32908 P38989 	nuclear mitotic cohesin complex [GO:0034990] 	double-stranded DNA binding [GO:0003690] AT DNA binding [GO:0003680] DNA secondary structure binding [GO:0000217] ATP binding [GO:0005524] identical protein binding [GO:0042802] ATPase activity [GO:0016887] 	cell division [GO:0051301] mitotic sister chromatid cohesion [GO:0007064] mitotic sister chromatid segregation [GO:0000070] double-strand break repair [GO:0006302] 	2	137604.0	1197.5
1.0.5.0	P32908 P38989 	nuclear mitotic cohesin complex [GO:0034990] 	double-stranded DNA binding [GO:0003690] AT DNA binding [GO:0003680] DNA secondary structure binding [GO:0000217] ATP binding [GO:0005524] identical protein binding [GO:0042802] ATPase activity [GO:0016887] 	cell division [GO:0051301] mitotic sister chromatid cohesion [GO:0007064] mitotic sister chromatid segregation [GO:0000070] double-strand break repair [GO:0006302] 	2	137604.0	1197.5
1.0.6	P39730 P36048 	eukaryotic 48S preinitiation complex [GO:0033290] cytosolic small ribosomal subunit [GO:0022627] cytoplasmic stress granule [GO:0010494] 	translation initiation factor binding [GO:0031369] translation initiation factor activity [GO:0003743] ribosome binding [GO:0043022] metal ion binding [GO:0046872] GTPase activity [GO:0003924] GTP binding [GO:0005525] 	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462] regulation of translational initiation [GO:0006446] ribosome assembly [GO:0042255] formation of cytoplasmic translation initiation complex [GO:0001732] 	2	113154.5	1005.0
1.0.6.0	P39730 P36048 	eukaryotic 48S preinitiation complex [GO:0033290] cytosolic small ribosomal subunit [GO:0022627] cytoplasmic stress granule [GO:0010494] 	translation initiation factor binding [GO:0031369] translation initiation factor activity [GO:0003743] ribosome binding [GO:0043022] metal ion binding [GO:0046872] GTPase activity [GO:0003924] GTP binding [GO:0005525] 	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462] regulation of translational initiation [GO:0006446] ribosome assembly [GO:0042255] formation of cytoplasmic translation initiation complex [GO:0001732] 	2	113154.5	1005.0
1.0.7	P32657 	SAGA complex [GO:0000124] nucleolar chromatin [GO:0030874] nuclear chromatin [GO:0000790] SLIK (SAGA-like) complex [GO:0046695] 	transcription regulatory region DNA binding [GO:0044212] helicase activity [GO:0004386] chromatin DNA binding [GO:0031490] DNA-dependent ATPase activity [GO:0008094] rDNA binding [GO:0000182] methylated histone binding [GO:0035064] ATP binding [GO:0005524] nucleosome-dependent ATPase activity [GO:0070615] DNA binding [GO:0003677] 	nucleosome mobilization [GO:0042766] nucleosome positioning [GO:0016584] ATP-dependent chromatin remodeling [GO:0043044] regulation of transcriptional start site selection at RNA polymerase II promoter [GO:0001178] regulation of nucleosome density [GO:0060303] histone H2B conserved C-terminal lysine ubiquitination [GO:0071894] nucleosome organization [GO:0034728] termination of RNA polymerase I transcription [GO:0006363] negative regulation of histone H3-K9 acetylation [GO:2000616] transcription elongation from RNA polymerase II promoter [GO:0006368] regulation of chromatin organization [GO:1902275] negative regulation of DNA-dependent DNA replication [GO:2000104] negative regulation of histone exchange [GO:1900050] negative regulation of histone H3-K14 acetylation [GO:0071441] termination of RNA polymerase II transcription [GO:0006369] 	1	168241.0	1468.0
1.0.8	P39928 	integral component of plasma membrane [GO:0005887] intracellular [GO:0005622] plasma membrane [GO:0005886] 	phosphorelay response regulator activity [GO:0000156] histidine phosphotransfer kinase activity [GO:0009927] phosphorelay sensor kinase activity [GO:0000155] osmosensor activity [GO:0005034] metal ion binding [GO:0046872] ATP binding [GO:0005524] protein histidine kinase activity [GO:0004673] 	osmosensory signaling via phosphorelay pathway [GO:0007234] negative regulation of protein kinase activity [GO:0006469] protein autophosphorylation [GO:0046777] peptidyl-histidine phosphorylation [GO:0018106] 	1	134435.0	1220.0
1.0.9	P36775 	mitochondrial matrix [GO:0005759] 	single-stranded DNA binding [GO:0003697] sequence-specific DNA binding [GO:0043565] ATP binding [GO:0005524] serine-type endopeptidase activity [GO:0004252] ATP-dependent peptidase activity [GO:0004176] mitochondrial light strand promoter anti-sense binding [GO:0070361] 	cellular response to oxidative stress [GO:0034599] mitochondrion organization [GO:0007005] protein folding [GO:0006457] chaperone-mediated protein complex assembly [GO:0051131] misfolded or incompletely synthesized protein catabolic process [GO:0006515] response to heat [GO:0009408] regulation of mitochondrial DNA replication [GO:0090296] mitochondrial DNA metabolic process [GO:0032042] oxidation-dependent protein catabolic process [GO:0070407] mitochondrial respiratory chain complex assembly [GO:0033108] 	1	127112.0	1133.0
1.1	Q08748 Q00816 P89105 P40856 P40467 P40469 P39520 P53550 P34244 Q02773 P38904 Q7LHG5 P06786 Q01476 P0CE41 P34228 P53920 P33200 P50104 Q04545 P39104 P38972 Q12734 Q06164 P41695 P40562 P31374 P22515 Q06108 P17442 O13559 P40541 P38764 P53280 Q12180 Q08972 P46676 P24814 P14284 P36097 P52918 Q12221 Q06706 P53971 Q08204 P51979 Q12263 P47037 Q06211 P40352 P53127 P36168 P54860 Q02792 P21657 Q05854 Q99247 P43612 P38990 P32597 P53836 P48361 P36123 P27692 P40453 Q08773 Q01389 P32361 Q07527 P07248 P38850 Q12139 P53893 P53094 P53935 A0A0B7P3V8 P13186 P13185 P06777 Q06698 P38798 P39113 Q12494 P17883 Q05549 P12689 P33202 O13527 P40578 P53076 P38167 P38163 P25502 P32862 Q12749 P30771 P09547 Q08965 P31380 P14922 P32380 Q02932 P14737 P12383 Q08217 P12954 Q12236 P40537 P38691 Q02979 P46974 P26637 Q12276 P23615 Q03496 P53114 P35210 P25390 Q03214 P07702 P24583 	cytoplasm [GO:0005737] 	 	 	121	133054.115702	1171.78512397
1.1.0	Q08748 Q00816 P89105 P40856 P40469 P39520 P53550 P34244 Q02773 P38904 P06786 Q01476 P53920 Q04545 P39104 P38972 Q12734 Q06164 P41695 P40562 P31374 P22515 Q06108 P17442 O13559 P40541 P38764 P53280 Q08972 P24814 P36097 P52918 Q12221 Q06706 Q08204 P51979 Q12263 P47037 Q06211 P36168 P54860 Q02792 Q99247 P43612 P38990 P53836 P48361 P36123 P40453 Q01389 Q07527 P38850 P53893 P53094 P53935 P13186 P13185 P06777 Q06698 P38798 P17883 Q05549 P12689 P33202 P40578 P53076 P38167 P38163 Q12749 P09547 Q08965 P14922 P32380 Q02932 P14737 Q08217 Q12236 P40537 P38691 Q02979 P26637 Q12276 Q03496 P53114 P35210 P25390 P07702 P24583 	cytoplasm [GO:0005737] 	 	 	88	132519.113636	1167.70454545
1.1.0.0	Q08748 P40856 P39520 P38904 Q01476 P53920 Q04545 P38972 Q12734 P40562 P31374 P22515 Q06108 P17442 O13559 P40541 P38764 P53280 Q08972 P36097 P52918 Q12221 Q06706 P51979 P36168 P54860 Q99247 P43612 P38990 P53836 P48361 P40453 Q07527 P38850 P53893 P53935 Q06698 P38798 P17883 Q05549 P12689 P53076 P38167 Q08965 Q02932 Q08217 P40537 Q02979 P26637 Q12276 Q03496 P53114 P25390 P07702 	cytoplasm [GO:0005737] 	 	 	54	132362.518519	1167.44444444
1.1.0.1	Q00816 	nucleus [GO:0005634] vacuole [GO:0005773] cytoplasm [GO:0005737] protein phosphatase type 1 complex [GO:0000164] 	protein phosphatase type 1 regulator activity [GO:0008599] 	response to unfolded protein [GO:0006986] regulation of carbohydrate metabolic process [GO:0006109] protein catabolic process in the vacuole [GO:0007039] glycogen metabolic process [GO:0005977] transfer RNA gene-mediated silencing [GO:0061587] negative regulation of transcription from RNA polymerase II promoter [GO:0000122] cellular response to glucose starvation [GO:0042149] 	1	112616.0	1014.0
1.1.0.2	P89105 	transcriptionally active chromatin [GO:0035327] nucleus [GO:0005634] Cdc73/Paf1 complex [GO:0016593] 	RNA polymerase II core binding [GO:0000993] triplex DNA binding [GO:0045142] transcription factor activity, RNA polymerase II transcription factor binding [GO:0001076] RNA polymerase II C-terminal domain phosphoserine binding [GO:1990269] 	transcription elongation from RNA polymerase I promoter [GO:0006362] positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues [GO:2001165] DNA-templated transcription, termination [GO:0006353] positive regulation of histone H3-K36 trimethylation [GO:2001255] snoRNA transcription from an RNA polymerase II promoter [GO:0001015] snoRNA 3'-end processing [GO:0031126] transcription from RNA polymerase I promoter [GO:0006360] regulation of transcription-coupled nucleotide-excision repair [GO:0090262] regulation of histone H3-K4 methylation [GO:0051569] positive regulation of transcription elongation from RNA polymerase I promoter [GO:2001209] regulation of transcription initiation from RNA polymerase II promoter [GO:0060260] regulation of histone H2B conserved C-terminal lysine ubiquitination [GO:2001173] histone modification [GO:0016570] transcription elongation from RNA polymerase II promoter [GO:0006368] regulation of chromatin silencing at telomere [GO:0031938] regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083] mRNA 3'-end processing [GO:0031124] 	1	124709.0	1077.0
1.1.0.3	P40469 	nucleus [GO:0005634] cytosol [GO:0005829] 	 	response to organic substance [GO:0010033] DNA metabolic process [GO:0006259] DNA repair [GO:0006281] iron-sulfur cluster assembly [GO:0016226] transcription, DNA-templated [GO:0006351] response to UV [GO:0009411] small molecule metabolic process [GO:0044281] 	1	117883.0	1032.0
1.1.0.4	P53550 	cytoplasmic mRNA processing body [GO:0000932] cytoplasmic side of membrane [GO:0098562] cytoplasm [GO:0005737] nucleus [GO:0005634] 	mRNA binding [GO:0003729] manganese ion binding [GO:0030145] hydrolase activity [GO:0016787] chromatin binding [GO:0003682] m7G(5')pppN diphosphatase activity [GO:0050072] 	stress granule assembly [GO:0034063] nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184] deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290] deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087] mRNA processing [GO:0006397] positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261] 	1	108667.0	970.0
1.1.0.5	P34244 Q12263 P13186 P13185 	nucleus [GO:0005634] cellular bud neck [GO:0005935] cellular bud neck septin ring [GO:0000144] 	ATP binding [GO:0005524] protein kinase activity [GO:0004672] protein serine/threonine kinase activity [GO:0004674] 	protein phosphorylation [GO:0006468] intracellular signal transduction [GO:0035556] G2/M transition of mitotic cell cycle [GO:0000086] morphogenesis checkpoint [GO:0044879] cellular protein catabolic process [GO:0044257] regulation of cell cycle [GO:0051726] peptidyl-serine phosphorylation [GO:0018105] protein autophosphorylation [GO:0046777] protein localization to septin ring [GO:1902935] 	4	136968.5	1217.75
1.1.0.6	Q02773 	nucleus [GO:0005634] ribonuclease P complex [GO:0030677] mitochondrial ribonuclease P complex [GO:0030678] mitochondrial matrix [GO:0005759] 	ribonuclease P activity [GO:0004526] 	RNA processing [GO:0006396] mitochondrion organization [GO:0007005] cytoplasmic translation [GO:0002181] positive regulation of transcription from RNA polymerase II promoter [GO:0045944] tRNA 5'-leader removal [GO:0001682] mRNA processing [GO:0006397] 	1	139348.0	1202.0
1.1.0.7	P06786 	DNA topoisomerase complex (ATP-hydrolyzing) [GO:0009330] DNA replication termination region [GO:0097047] synaptonemal complex [GO:0000795] nucleus [GO:0005634] 	metal ion binding [GO:0046872] ATP binding [GO:0005524] DNA topoisomerase type II (ATP-hydrolyzing) activity [GO:0003918] DNA binding [GO:0003677] 	reciprocal meiotic recombination [GO:0007131] mitotic DNA integrity checkpoint [GO:0044774] regulation of mitotic recombination [GO:0000019] chromatin remodeling at centromere [GO:0031055] sister chromatid segregation [GO:0000819] DNA strand elongation involved in DNA replication [GO:0006271] replication fork progression beyond termination site [GO:0097046] resolution of meiotic recombination intermediates [GO:0000712] DNA topological change [GO:0006265] chromatin assembly or disassembly [GO:0006333] DNA unwinding involved in DNA replication [GO:0006268] 	1	164215.0	1428.0
1.1.0.8	P39104 	trans-Golgi network [GO:0005802] nucleus [GO:0005634] 	ATP binding [GO:0005524] 1-phosphatidylinositol 4-kinase activity [GO:0004430] 	phosphatidylinositol phosphorylation [GO:0046854] endocytosis [GO:0006897] phosphatidylinositol-mediated signaling [GO:0048015] positive regulation of Golgi to plasma membrane protein transport [GO:0042998] positive regulation of protein secretion [GO:0050714] 	1	119923.0	1066.0
1.1.0.9	Q06164 Q06211 	Cul8-RING ubiquitin ligase complex [GO:0035361] nucleus [GO:0005634] 	 	double-strand break repair [GO:0006302] cell division [GO:0051301] double-strand break repair via homologous recombination [GO:0000724] cellular response to DNA damage stimulus [GO:0006974] meiotic sister chromatid segregation [GO:0045144] recombinational repair [GO:0000725] replication fork processing [GO:0031297] 	2	164460.5	1430.5
1.1.0.10	P41695 	kinetochore [GO:0000776] condensed nuclear chromosome kinetochore [GO:0000778] condensed nuclear chromosome, centromeric region [GO:0000780] nucleus [GO:0005634] 	ATP binding [GO:0005524] protein kinase activity [GO:0004672] protein serine/threonine kinase activity [GO:0004674] 	protein phosphorylation [GO:0006468] protein localization to kinetochore [GO:0034501] macroautophagy [GO:0016236] mitotic spindle assembly checkpoint [GO:0007094] sister chromatid biorientation [GO:0031134] centromere complex assembly [GO:0034508] 	1	117868.0	1021.0
1.1.0.11	P24814 	nucleus [GO:0005634] cellular bud neck contractile ring [GO:0000142] cytoplasm [GO:0005737] SCF ubiquitin ligase complex [GO:0019005] membrane [GO:0016020] 	protein binding, bridging [GO:0030674] 	protein ubiquitination [GO:0016567] glucose metabolic process [GO:0006006] mitotic cell cycle arrest in response to pheromone [GO:0000751] SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146] protein polyubiquitination [GO:0000209] cellular response to methylmercury [GO:0071406] G1/S transition of mitotic cell cycle [GO:0000082] 	1	132734.0	1151.0
1.1.0.12	Q08204 Q12749 	nucleus [GO:0005634] Smc5-Smc6 complex [GO:0030915] 	ATP binding [GO:0005524] single-stranded DNA binding [GO:0003697] damaged DNA binding [GO:0003684] ATPase activity [GO:0016887] 	protein sumoylation [GO:0016925] DNA repair [GO:0006281] chromosome separation [GO:0051304] double-strand break repair via homologous recombination [GO:0000724] resolution of recombination intermediates [GO:0071139] recombinational repair [GO:0000725] sister chromatid cohesion [GO:0007062] 	2	127023.0	1103.5
1.1.0.13	P47037 	nuclear mitotic cohesin complex [GO:0034990] cohesin core heterodimer [GO:0008280] nucleus [GO:0005634] 	ATP binding [GO:0005524] chromatin binding [GO:0003682] ATPase activity [GO:0016887] 	meiotic sister chromatid cohesion [GO:0051177] mitotic sister chromatid cohesion [GO:0007064] reciprocal meiotic recombination [GO:0007131] replication-born double-strand break repair via sister chromatid exchange [GO:1990414] cell division [GO:0051301] ascospore formation [GO:0030437] synaptonemal complex assembly [GO:0007130] 	1	141336.0	1230.0
1.1.0.14	Q02792 	nucleus [GO:0005634] 	5'-3' exoribonuclease activity [GO:0004534] rRNA binding [GO:0019843] 	negative regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901408] negative regulation of transcription elongation from RNA polymerase II promoter [GO:0034244] termination of RNA polymerase II transcription, poly(A)-coupled [GO:0030846] termination of RNA polymerase II transcription, exosome-dependent [GO:0030847] rRNA processing [GO:0006364] nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035] nuclear mRNA surveillance [GO:0071028] cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448] snoRNA processing [GO:0043144] mRNA processing [GO:0006397] 	1	115934.0	1006.0
1.1.0.15	P36123 P53094 P38691 	cytoplasm [GO:0005737] 	 	TOR signaling [GO:0031929] dephosphorylation [GO:0016311] G1/S transition of mitotic cell cycle [GO:0000082] tRNA wobble uridine modification [GO:0002098] 	3	133717.0	1183.0
1.1.0.16	Q01389 	cytoplasm [GO:0005737] 	ATP binding [GO:0005524] protein tyrosine kinase activity [GO:0004713] MAP kinase kinase kinase activity [GO:0004709] 	protein phosphorylation [GO:0006468] intracellular signal transduction [GO:0035556] response to acidic pH [GO:0010447] endoplasmic reticulum unfolded protein response [GO:0030968] pexophagy [GO:0030242] regulation of fungal-type cell wall organization [GO:0060237] establishment of cell polarity [GO:0030010] response to nutrient [GO:0007584] 	1	164195.0	1478.0
1.1.0.17	P06777 	nucleotide-excision repair factor 1 complex [GO:0000110] nucleus [GO:0005634] 	damaged DNA binding [GO:0003684] endodeoxyribonuclease activity [GO:0004520] single-stranded DNA binding [GO:0003697] 	DNA amplification [GO:0006277] mitotic recombination [GO:0006312] meiotic mismatch repair [GO:0000710] double-strand break repair via homologous recombination [GO:0000724] double-strand break repair via single-strand annealing, removal of nonhomologous ends [GO:0000736] nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296] nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255] resolution of meiotic recombination intermediates [GO:0000712] removal of nonhomologous ends [GO:0000735] 	1	126370.0	1100.0
1.1.0.18	P33202 	cytoplasm [GO:0005737] 	ubiquitin-protein transferase activity [GO:0004842] 	protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787] negative regulation of telomerase activity [GO:0051974] protein polyubiquitination [GO:0000209] free ubiquitin chain polymerization [GO:0010994] protein monoubiquitination [GO:0006513] 	1	167843.0	1483.0
1.1.0.19	P40578 P35210 	integral component of endoplasmic reticulum membrane [GO:0030176] nucleus [GO:0005634] 	 	positive regulation of unsaturated fatty acid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter [GO:0036083] positive regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061419] positive regulation of transcription from RNA polymerase II promoter [GO:0045944] cellular response to cold [GO:0070417] positive regulation of transcription from RNA polymerase II promoter in response to cobalt ion [GO:0061399] mRNA stabilization [GO:0048255] chromatin silencing at silent mating-type cassette [GO:0030466] 	2	124196.5	1097.5
1.1.0.20	P38163 	plasma membrane [GO:0005886] cytoplasm [GO:0005737] 	GTPase activator activity [GO:0005096] syntaxin binding [GO:0019905] Rab GTPase binding [GO:0017137] 	Golgi to plasma membrane transport [GO:0006893] regulation of exocytosis [GO:0017157] regulation of protein secretion [GO:0050708] establishment of cell polarity [GO:0030010] exocytosis [GO:0006887] 	1	111623.0	1010.0
1.1.0.21	P09547 	nucleus [GO:0005634] SWI/SNF complex [GO:0016514] 	metal ion binding [GO:0046872] RNA polymerase II activating transcription factor binding [GO:0001102] DNA binding [GO:0003677] 	positive regulation of transcription from RNA polymerase II promoter in response to amino acid starvation [GO:0061412] ATP-dependent chromatin remodeling [GO:0043044] positive regulation of transcription from RNA polymerase II promoter [GO:0045944] DNA-dependent DNA replication [GO:0006261] cellular alcohol catabolic process [GO:0044109] sucrose catabolic process [GO:0005987] carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436] transcription, DNA-templated [GO:0006351] positive regulation of mating type switching [GO:0031496] 	1	147938.0	1314.0
1.1.0.22	P14922 	nucleus [GO:0005634] transcriptional repressor complex [GO:0017053] 	histone deacetylase binding [GO:0042826] transcriptional repressor activity, RNA polymerase II transcription factor binding [GO:0001191] transcriptional activator activity, RNA polymerase II transcription factor binding [GO:0001190] 	negative regulation of dipeptide transport by negative regulation of transcription from RNA polymerase II promoter [GO:0035955] nucleosome positioning [GO:0016584] chromatin remodeling [GO:0006338] negative regulation of transcription from RNA polymerase II promoter during mitosis [GO:0007070] regulation of fatty acid biosynthetic process by regulation of transcription from RNA polymerase II promoter [GO:2000531] regulation of response to DNA damage stimulus [GO:2001020] negative regulation of transcription from RNA polymerase II promoter [GO:0000122] 	1	107202.0	966.0
1.1.0.23	P32380 	nucleus [GO:0005634] inner plaque of spindle pole body [GO:0005822] central plaque of spindle pole body [GO:0005823] 	structural constituent of cytoskeleton [GO:0005200] 	protein complex oligomerization [GO:0035786] mitotic spindle elongation [GO:0000022] gamma-tubulin complex assembly [GO:1902481] karyogamy involved in conjugation with cellular fusion [GO:0000742] microtubule nucleation [GO:0007020] 	1	111782.0	944.0
1.1.0.24	P14737 	chromatin [GO:0000785] nucleus [GO:0005634] 	histone binding [GO:0042393] enzyme activator activity [GO:0008047] double-stranded DNA binding [GO:0003690] 	DNA repair [GO:0006281] negative regulation of DNA replication [GO:0008156] regulation of cell cycle [GO:0051726] intra-S DNA damage checkpoint [GO:0031573] DNA damage checkpoint [GO:0000077] positive regulation of transcription from RNA polymerase II promoter [GO:0045944] mitotic G1 DNA damage checkpoint [GO:0031571] G1 DNA damage checkpoint [GO:0044783] nucleotide-excision repair [GO:0006289] 	1	148398.0	1309.0
1.1.0.25	Q12236 P24583 	nucleus [GO:0005634] cell cortex [GO:0005938] 	ATP binding [GO:0005524] protein kinase activity [GO:0004672] protein serine/threonine kinase activity [GO:0004674] 	protein phosphorylation [GO:0006468] MAPK cascade involved in cell wall organization or biogenesis [GO:0000196] endocytosis [GO:0006897] cytoplasmic mRNA processing body assembly [GO:0033962] regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060211] peptidyl-serine phosphorylation [GO:0018105] late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511] 	2	126568.5	1116.0
1.1.1	P40467 P0CE41 P34228 P33200 P50104 Q12180 P46676 P53971 P53127 P21657 Q05854 Q12139 P39113 P25502 P32862 P30771 P12383 P12954 P46974 P23615 Q03214 	nucleus [GO:0005634] 	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978] transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077] zinc ion binding [GO:0008270] 	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source [GO:0061414] 	21	132161.761905	1165.71428571
1.1.1.0	P40467 P34228 P33200 P50104 Q12180 P53971 Q05854 Q12139 P39113 P25502 P32862 P12383 P46974 Q03214 	nucleus [GO:0005634] 	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978] transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077] zinc ion binding [GO:0008270] 	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source [GO:0061414] 	14	129048.857143	1139.07142857
1.1.1.1	P0CE41 P53127 P21657 	nucleus [GO:0005634] mitochondrion [GO:0005739] 	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978] transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077] zinc ion binding [GO:0008270] 	carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436] regulation of cellular respiration [GO:0043457] negative regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061428] establishment of protein localization to chromatin [GO:0071169] 	3	146161.666667	1291.66666667
1.1.1.2	P46676 	nucleus [GO:0005634] 	DNA replication origin binding [GO:0003688] RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978] transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001078] 	negative regulation of transcription by competitive promoter binding [GO:0010944] negative regulation of transcription from RNA polymerase II promoter during mitosis [GO:0007070] transcription, DNA-templated [GO:0006351] positive regulation of DNA-dependent DNA replication initiation [GO:0032298] chromatin silencing at silent mating-type cassette [GO:0030466] sporulation resulting in formation of a cellular spore [GO:0030435] 	1	118201.0	1062.0
1.1.1.3	P30771 	nucleus [GO:0005634] cytoplasm [GO:0005737] polysome [GO:0005844] 	ribosomal small subunit binding [GO:0043024] ATP binding [GO:0005524] ATP-dependent RNA helicase activity [GO:0004004] zinc ion binding [GO:0008270] ATPase activity [GO:0016887] DNA binding [GO:0003677] 	DNA recombination [GO:0006310] protein ubiquitination [GO:0016567] nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478] nuclear-transcribed mRNA catabolic process [GO:0000956] regulation of translational termination [GO:0006449] intracellular mRNA localization [GO:0008298] chromatin silencing at silent mating-type cassette [GO:0030466] nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184] 	1	109430.0	971.0
