Entry	Length	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P32448	525	59,347	chromatin silencing at silent mating-type cassette [GO:0030466]		nuclear chromosome, telomeric region [GO:0000784]; nucleus [GO:0005634]
P46993	209	24,946	conjugation with cellular fusion [GO:0000747]		endomembrane system [GO:0012505]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P53983	676	77,649	cellular response to amino acid stimulus [GO:0071230]; transcription factor catabolic process [GO:0036369]; ubiquitin-dependent protein catabolic process [GO:0006511]	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	Asi complex [GO:0097658]; integral component of membrane [GO:0016021]; nuclear inner membrane [GO:0005637]
P35734	292	32,072	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; mitotic sister chromatid biorientation [GO:1990758]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of microtubule polymerization [GO:0031116]		cytoplasm [GO:0005737]; DASH complex [GO:0042729]; microtubule [GO:0005874]; mitotic spindle pole body [GO:0044732]
P38929	1173	130,861	calcium ion transport [GO:0006816]; cellular calcium ion homeostasis [GO:0006874]; transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; calcium-transporting ATPase activity [GO:0005388]; metal ion binding [GO:0046872]	fungal-type vacuole membrane [GO:0000329]; integral component of plasma membrane [GO:0005887]
P39986	1215	135,269	cellular calcium ion homeostasis [GO:0006874]; cellular manganese ion homeostasis [GO:0030026]; sterol homeostasis [GO:0055092]; transmembrane transport [GO:0055085]	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATP binding [GO:0005524]; cation-transporting ATPase activity [GO:0019829]; metal ion binding [GO:0046872]	cis-Golgi network [GO:0005801]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]
Q12674	1656	188,319	intracellular protein transport [GO:0006886]; phospholipid translocation [GO:0045332]; response to pheromone involved in conjugation with cellular fusion [GO:0000749]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phospholipid-translocating ATPase activity [GO:0004012]	integral component of membrane [GO:0016021]; mating projection tip membrane [GO:0070867]; trans-Golgi network [GO:0005802]; trans-Golgi network transport vesicle [GO:0030140]
Q06628	738	83,281	activation of protein kinase activity [GO:0032147]; autophagy [GO:0006914]; CVT pathway [GO:0032258]; late nucleophagy [GO:0044805]; macroautophagy [GO:0016236]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]; protein localization to pre-autophagosomal structure [GO:0034497]	protein kinase regulator activity [GO:0019887]	ATG1/ULK1 kinase complex [GO:1990316]; extrinsic component of membrane [GO:0019898]; pre-autophagosomal structure [GO:0000407]
P35193	415	47,599	autophagy [GO:0006914]; CVT pathway [GO:0032258]; ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; protein complex localization [GO:0031503]; protein processing [GO:0016485]; vesicle organization [GO:0016050]	protein binding, bridging [GO:0030674]	cytoplasm [GO:0005737]; extrinsic component of membrane [GO:0019898]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]
P32907	282	30,701	ammonium transport [GO:0015696]; nitrogen utilization [GO:0019740]; plasma membrane acetate transport [GO:0006847]	acetate transmembrane transporter activity [GO:0015123]; ammonium transmembrane transporter activity [GO:0008519]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P38316	186	21,106	autophagosome assembly [GO:0000045]; C-terminal protein lipidation [GO:0006501]; CVT pathway [GO:0032258]; late nucleophagy [GO:0044805]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]	enzyme activator activity [GO:0008047]; protein tag [GO:0031386]	Atg12-Atg5-Atg16 complex [GO:0034274]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]
Q03818	150	17,222	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; C-terminal protein lipidation [GO:0006501]; CVT pathway [GO:0032258]; late nucleophagy [GO:0044805]; macroautophagy [GO:0016236]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]	protein binding, bridging [GO:0030674]	Atg12-Atg5-Atg16 complex [GO:0034274]; autophagosome membrane [GO:0000421]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]
Q02887	496	55,188	autophagosome assembly [GO:0000045]; CVT pathway [GO:0032258]; macroautophagy [GO:0016236]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]; protein lipidation [GO:0006497]; protein localization to pre-autophagosomal structure [GO:0034497]; vesicle organization [GO:0016050]	phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]	cytosol [GO:0005829]; endosome [GO:0005768]; extrinsic component of membrane [GO:0019898]; fungal-type vacuole membrane [GO:0000329]; pre-autophagosomal structure membrane [GO:0034045]
Q12048	136	14,986	autophagosome assembly [GO:0000045]; CVT pathway [GO:0032258]; macroautophagy [GO:0016236]; mitophagy [GO:0000422]		pre-autophagosomal structure membrane [GO:0034045]
P38862	630	71,428	autophagy [GO:0006914]; cellular response to nitrogen starvation [GO:0006995]; C-terminal protein lipidation [GO:0006501]; CVT pathway [GO:0032258]; late nucleophagy [GO:0044805]; macroautophagy [GO:0016236]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]; protein catabolic process [GO:0030163]; protein modification by small protein conjugation [GO:0032446]	Atg12 activating enzyme activity [GO:0019778]; Atg8 activating enzyme activity [GO:0019779]	cytosol [GO:0005829]; extrinsic component of pre-autophagosomal structure membrane [GO:0097632]; membrane [GO:0016020]; pre-autophagosomal structure [GO:0000407]
P38182	117	13,627	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; cellular protein complex localization [GO:0034629]; cellular response to nitrogen starvation [GO:0006995]; CVT pathway [GO:0032258]; ER to Golgi vesicle-mediated transport [GO:0006888]; late nucleophagy [GO:0044805]; membrane fusion [GO:0061025]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]; protein targeting to vacuole involved in autophagy [GO:0071211]; reticulophagy [GO:0061709]	protein tag [GO:0031386]	autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; Cvt vesicle membrane [GO:0033110]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; fungal-type vacuole membrane [GO:0000329]; pre-autophagosomal structure [GO:0000407]
Q12142	997	115,403	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; CVT pathway [GO:0032258]; late nucleophagy [GO:0044805]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]; protein homooligomerization [GO:0051260]; protein localization to pre-autophagosomal structure [GO:0034497]; reticulophagy [GO:0061709]		autophagosome [GO:0005776]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]
Q01896	1091	120,317	potassium ion transport [GO:0006813]; sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085]	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; potassium-transporting ATPase activity [GO:0008556]; sodium-exporting ATPase activity, phosphorylative mechanism [GO:0008554]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]
P50273	684	79,756	positive regulation of mitochondrial translation [GO:0070131]; proton-transporting ATP synthase complex biogenesis [GO:0070272]	translation regulator activity [GO:0045182]	mitochondrial inner membrane [GO:0005743]
P81451	68	7,534	ATP synthesis coupled proton transport [GO:0015986]; protein complex oligomerization [GO:0035786]		integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
P53722	227	26,890	mitochondrial protein processing [GO:0034982]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial intermembrane space [GO:0005758]
Q03153	612	70,414	mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]; mRNA stabilization [GO:0048255]		mitochondrial inner membrane [GO:0005743]
P32660	1571	177,798	endocytosis [GO:0006897]; establishment or maintenance of cell polarity [GO:0007163]; intracellular protein transport [GO:0006886]; phospholipid translocation [GO:0045332]; response to pheromone involved in conjugation with cellular fusion [GO:0000749]	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phospholipid-translocating ATPase activity [GO:0004012]	endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; Lem3p-Dnf1p complex [GO:1990531]; mating projection tip membrane [GO:0070867]; plasma membrane [GO:0005886]
Q12527	1178	135,025	cellular response to nitrogen starvation [GO:0006995]; CVT pathway [GO:0032258]; glycophagy [GO:0061723]; mitophagy [GO:0000422]; pexophagy [GO:0030242]; piecemeal microautophagy of nucleus [GO:0034727]; positive regulation of protein phosphorylation [GO:0001934]; protein localization to pre-autophagosomal structure [GO:0034497]; reticulophagy [GO:0061709]	protein complex scaffold [GO:0032947]; protein kinase binding [GO:0019901]	ATG1/ULK1 kinase complex [GO:1990316]; extrinsic component of membrane [GO:0019898]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]; vacuolar membrane [GO:0005774]
Q07528	640	72,546	CVT pathway [GO:0032258]; early endosome to Golgi transport [GO:0034498]; endocytosis [GO:0006897]; macroautophagy [GO:0016236]; mitophagy [GO:0000422]; vesicle organization [GO:0016050]	phosphatidylinositol-3-phosphate binding [GO:0032266]	cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extrinsic component of membrane [GO:0019898]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]
Q06485	197	20,400	macroautophagy [GO:0016236]; mitophagy [GO:0000422]		integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P32453	318	36,851	mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]; mitochondrion organization [GO:0007005]	unfolded protein binding [GO:0051082]	mitochondrion [GO:0005739]
P81450	59	6,688	ATP synthesis coupled proton transport [GO:0015986]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]; protein complex oligomerization [GO:0035786]	hydrogen ion transmembrane transporter activity [GO:0015078]	integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
P05626	244	26,925	ATP synthesis coupled proton transport [GO:0015986]; protein complex oligomerization [GO:0035786]	hydrogen ion transmembrane transporter activity [GO:0015078]	mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]
Q12233	115	12,921	ATP synthesis coupled proton transport [GO:0015986]; cristae formation [GO:0042407]; protein complex oligomerization [GO:0035786]	hydrogen ion transmembrane transporter activity [GO:0015078]	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
Q12165	160	17,020	ATP synthesis coupled proton transport [GO:0015986]	proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	mitochondrial proton-transporting ATP synthase, central stalk [GO:0005756]
Q12067	313	34,408	cellular manganese ion homeostasis [GO:0030026]; zinc II ion transmembrane transport [GO:0071577]	manganese ion transmembrane transporter activity [GO:0005384]; zinc ion transmembrane transporter activity [GO:0005385]	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; trans-Golgi network [GO:0005802]
P50080	613	67,169	azole transport [GO:0045117]; transmembrane transport [GO:0055085]	azole transporter activity [GO:0045118]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P07251	545	58,608	ATP hydrolysis coupled proton transport [GO:0015991]; ATP synthesis coupled proton transport [GO:0015986]; protein targeting to mitochondrion [GO:0006626]	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial nucleoid [GO:0042645]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrion [GO:0005739]
Q08409	1394	157,751	cellular response to drug [GO:0035690]; sterol import [GO:0035376]	ATP binding [GO:0005524]; sterol-transporting ATPase activity [GO:0034041]; xenobiotic-transporting ATPase activity [GO:0008559]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q08236	1176	131,379	establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; fungal-type cell wall organization [GO:0031505]; negative regulation of Ras protein signal transduction [GO:0046580]; regulation of cell growth [GO:0001558]; stress-activated protein kinase signaling cascade [GO:0031098]; TORC2 signaling [GO:0038203]; TOR signaling [GO:0031929]	phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; Ras GTPase binding [GO:0017016]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; TORC2 complex [GO:0031932]; vacuolar membrane [GO:0005774]
P40851	1208	138,332	axial cellular bud site selection [GO:0007120]; cytogamy [GO:0000755]; peptide catabolic process [GO:0043171]; peptide mating pheromone maturation involved in conjugation with cellular fusion [GO:0071432]; protein processing [GO:0016485]; proteolysis involved in cellular protein catabolic process [GO:0051603]	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	cellular bud neck [GO:0005935]; mating projection tip [GO:0043332]; mitochondrion [GO:0005739]
Q12226	474	52,837	mycotoxin catabolic process [GO:0043387]	trichothecene 3-O-acetyltransferase activity [GO:0045462]	
Q12128	409	46,216	negative regulation of Rho protein signal transduction [GO:0035024]; positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]	GTPase activator activity [GO:0005096]	
P0CX79	362	38,687	asparagine catabolic process [GO:0006530]; cellular response to nitrogen starvation [GO:0006995]	asparaginase activity [GO:0004067]	cell wall-bounded periplasmic space [GO:0030287]; extracellular region [GO:0005576]
P22768	420	46,928	arginine biosynthetic process [GO:0006526]; argininosuccinate metabolic process [GO:0000053]; urea cycle [GO:0000050]	argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]	cytosol [GO:0005829]
P13586	950	104,571	calcium ion transport [GO:0006816]; cellular calcium ion homeostasis [GO:0006874]; exocytosis [GO:0006887]; macroautophagy [GO:0016236]; manganese ion transport [GO:0006828]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calcium-transporting ATPase activity [GO:0005388]; manganese-transporting ATPase activity [GO:0015410]	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]
P40353	525	61,036	acetate ester metabolic process involved in fermentation [GO:1901089]; interspecies interaction between organisms [GO:0044419]	alcohol O-acetyltransferase activity [GO:0004026]	lipid particle [GO:0005811]; membrane [GO:0016020]
Q06410	417	48,656	activation of protein kinase activity [GO:0032147]; autophagosome assembly [GO:0000045]; late nucleophagy [GO:0044805]; mitophagy [GO:0000422]; pexophagy [GO:0030242]; piecemeal microautophagy of nucleus [GO:0034727]	protein complex scaffold [GO:0032947]; protein kinase activator activity [GO:0030295]	ATG1/ULK1 kinase complex [GO:1990316]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]
P43601	500	55,102	autophagosome assembly [GO:0000045]; CVT pathway [GO:0032258]; late endosome to vacuole transport [GO:0045324]; late nucleophagy [GO:0044805]; macroautophagy [GO:0016236]; mitophagy [GO:0000422]; pexophagy [GO:0030242]; piecemeal microautophagy of nucleus [GO:0034727]; protein lipidation [GO:0006497]; protein localization to pre-autophagosomal structure [GO:0034497]; vacuolar protein processing [GO:0006624]	phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; ubiquitin binding [GO:0043130]	cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; fungal-type vacuole membrane [GO:0000329]; PAS complex [GO:0070772]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]; vacuolar membrane [GO:0005774]
P25568	528	58,844	amino acid transmembrane export from vacuole [GO:0032974]; autophagy [GO:0006914]	transporter activity [GO:0005215]	integral component of fungal-type vacuolar membrane [GO:0071627]
Q12421	196	22,191	autophagy [GO:0006914]; chromosome segregation [GO:0007059]; karyogamy [GO:0000741]; late nucleophagy [GO:0044805]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]; protein transport [GO:0015031]		microtubule [GO:0005874]; pre-autophagosomal structure [GO:0000407]
P38110	2787	321,524	cellular response to DNA damage stimulus [GO:0006974]; DNA damage checkpoint [GO:0000077]; DNA damage induced protein phosphorylation [GO:0006975]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; histone phosphorylation [GO:0016572]; phosphorylation [GO:0016310]; replicative senescence [GO:0090399]; response to ionizing radiation [GO:0010212]; telomere maintenance [GO:0000723]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; telomeric DNA binding [GO:0042162]	chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]
P21306	62	6,743	ATP synthesis coupled proton transport [GO:0015986]	proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	mitochondrial proton-transporting ATP synthase, central stalk [GO:0005756]
P30902	174	19,810	ATP synthesis coupled proton transport [GO:0015986]	hydrogen ion transmembrane transporter activity [GO:0015078]	mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]
P53731	342	39,566	actin cytoskeleton organization [GO:0030036]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; microtubule cytoskeleton organization [GO:0000226]; mitochondrion inheritance [GO:0000001]; receptor-mediated endocytosis [GO:0006898]	structural molecule activity [GO:0005198]	actin cortical patch [GO:0030479]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]
Q8TGM5	67	7,789			
P0CZ17	362	38,687	asparagine catabolic process [GO:0006530]; cellular response to nitrogen starvation [GO:0006995]	asparaginase activity [GO:0004067]	cell wall-bounded periplasmic space [GO:0030287]; extracellular region [GO:0005576]
Q12675	1612	182,619	endocytosis [GO:0006897]; establishment or maintenance of cell polarity [GO:0007163]; intracellular protein transport [GO:0006886]; phospholipid translocation [GO:0045332]; response to pheromone involved in conjugation with cellular fusion [GO:0000749]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phospholipid-translocating ATPase activity [GO:0004012]	integral component of membrane [GO:0016021]; intracellular [GO:0005622]; mating projection tip membrane [GO:0070867]; plasma membrane [GO:0005886]
P01097	85	9,870	heme biosynthetic process [GO:0006783]; negative regulation of ATPase activity [GO:0032780]	ATPase binding [GO:0051117]; ATPase inhibitor activity [GO:0042030]; enzyme inhibitor activity [GO:0004857]	mitochondrion [GO:0005739]
Q12691	1091	120,296	sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085]	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATP binding [GO:0005524]; cation-transporting ATPase activity [GO:0019829]; metal ion binding [GO:0046872]; sodium-exporting ATPase activity, phosphorylative mechanism [GO:0008554]	integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
P00854	259	29,099	ATP synthesis coupled proton transport [GO:0015986]	hydrogen ion transmembrane transporter activity [GO:0015078]	integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
P40416	690	77,522	cellular iron ion homeostasis [GO:0006879]; ion transport [GO:0006811]; small molecule metabolic process [GO:0044281]	ATPase activity [GO:0016887]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]; transmembrane transporter activity [GO:0022857]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
Q12349	124	14,128	ATP synthesis coupled proton transport [GO:0015986]; cristae formation [GO:0042407]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]		mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
P38995	1004	109,829	cellular iron ion homeostasis [GO:0006879]; copper ion export [GO:0060003]; transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; cation-transporting ATPase activity [GO:0019829]; copper ion binding [GO:0005507]; copper-transporting ATPase activity [GO:0043682]	integral component of plasma membrane [GO:0005887]; trans-Golgi network transport vesicle membrane [GO:0012510]
P32450	94	11,722	amino acid transport [GO:0006865]		
P53946	755	87,560	chromatin remodeling [GO:0006338]; DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; nucleosome mobilization [GO:0042766]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]		Ino80 complex [GO:0031011]; nucleus [GO:0005634]
Q12406	477	53,810	ATP-dependent chromatin remodeling [GO:0043044]; chromatin modification [GO:0016569]; chromatin organization [GO:0006325]; nucleosome disassembly [GO:0006337]; nucleosome mobilization [GO:0042766]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; transcription elongation from RNA polymerase II promoter [GO:0006368]	structural molecule activity [GO:0005198]	nucleus [GO:0005634]; RSC complex [GO:0016586]; SWI/SNF complex [GO:0016514]
P40518	154	17,134	actin cortical patch assembly [GO:0000147]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; mitochondrion inheritance [GO:0000001]	mRNA binding [GO:0003729]; structural molecule activity [GO:0005198]	actin cortical patch [GO:0030479]; Arp2/3 protein complex [GO:0005885]; extrinsic component of mitochondrial outer membrane [GO:0031315]
Q06598	404	45,848	antimonite transport [GO:0015699]; arsenite transport [GO:0015700]; response to arsenic-containing substance [GO:0046685]	antimonite transmembrane transporter activity [GO:0015104]; antiporter activity [GO:0015297]; arsenite transmembrane transporter activity [GO:0015105]; organic acid transmembrane transporter activity [GO:0005342]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]
P40467	964	108,781	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source [GO:0061414]	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]
P0CX78	362	38,687	asparagine catabolic process [GO:0006530]; cellular response to nitrogen starvation [GO:0006995]	asparaginase activity [GO:0004067]	cell wall-bounded periplasmic space [GO:0030287]; extracellular region [GO:0005576]
Q12380	294	33,560	autophagosome assembly [GO:0000045]; cellular response to nitrogen starvation [GO:0006995]; C-terminal protein lipidation [GO:0006501]; CVT pathway [GO:0032258]; late nucleophagy [GO:0044805]; macroautophagy [GO:0016236]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]	enzyme activator activity [GO:0008047]; hydrolase activity [GO:0016787]	Atg12-Atg5-Atg16 complex [GO:0034274]; autophagosome [GO:0005776]; cytosol [GO:0005829]; membrane [GO:0016020]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]
P48016	1211	136,921	cellular response to desiccation [GO:0071465]; cellular response to ethanol [GO:0071361]; cellular response to freezing [GO:0071497]; trehalose catabolic process [GO:0005993]	alpha,alpha-trehalase activity [GO:0004555]; carbohydrate binding [GO:0030246]	cell wall-bounded periplasmic space [GO:0030287]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]
P22135	325	36,554	mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]	protein domain specific binding [GO:0019904]	mitochondrion [GO:0005739]
P39524	1355	153,765	endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; Golgi vesicle budding [GO:0048194]; intracellular protein transport [GO:0006886]; phospholipid translocation [GO:0045332]; post-Golgi vesicle-mediated transport [GO:0006892]; response to pheromone involved in conjugation with cellular fusion [GO:0000749]; ribosomal small subunit assembly [GO:0000028]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phospholipid-translocating ATPase activity [GO:0004012]	Cdc50p-Drs2p complex [GO:1990530]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
P40527	1151	130,218	endocytosis [GO:0006897]; phospholipid translocation [GO:0045332]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to ER [GO:0006890]; vacuole organization [GO:0007033]	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phospholipid-translocating ATPase activity [GO:0004012]	endosome [GO:0005768]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
P16639	503	57,930	protein arginylation [GO:0016598]	arginyltransferase activity [GO:0004057]	cytoplasm [GO:0005737]
Q12092	213	24,708	late nucleophagy [GO:0044805]; macroautophagy [GO:0016236]; mitophagy [GO:0000422]; piecemeal microautophagy of nucleus [GO:0034727]; protein transport [GO:0015031]		pre-autophagosomal structure [GO:0000407]
P40458	529	58,969	mitophagy [GO:0000422]		integral component of mitochondrial outer membrane [GO:0031307]; pre-autophagosomal structure membrane [GO:0034045]; vacuolar membrane [GO:0005774]
Q99325	256	29,693	reticulophagy [GO:0061709]	protein binding, bridging [GO:0030674]	cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; pre-autophagosomal structure membrane [GO:0034045]
P13587	1091	120,357	cellular response to glucose starvation [GO:0042149]; hyperosmotic response [GO:0006972]; potassium ion transport [GO:0006813]; response to pH [GO:0009268]; response to salt stress [GO:0009651]; sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; potassium-transporting ATPase activity [GO:0008556]; sodium-exporting ATPase activity, phosphorylative mechanism [GO:0008554]	integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
P00856	48	5,822	ATP synthesis coupled proton transport [GO:0015986]	hydrogen ion transmembrane transporter activity [GO:0015078]	integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
P00830	511	54,794	ATP hydrolysis coupled proton transport [GO:0015991]; ATP synthesis coupled proton transport [GO:0015986]; protein targeting to mitochondrion [GO:0006626]	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]
P38077	311	34,351	ATP synthesis coupled proton transport [GO:0015986]	proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	mitochondrial proton-transporting ATP synthase, central stalk [GO:0005756]
