Entry	Entry name	Protein names	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)	Length	Mass
P49095	GCSP_YEAST	Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine decarboxylase complex subunit P) (Glycine dehydrogenase (aminomethyl-transferring))	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]	glycine binding [GO:0016594]; glycine dehydrogenase (decarboxylating) activity [GO:0004375]	glycine decarboxylation via glycine cleavage system [GO:0019464]; one-carbon metabolic process [GO:0006730]	1034	114,451
P40056	GET2_YEAST	Golgi to ER traffic protein 2 (Guided entry of tail-anchored proteins 2) (Hydroxyurea resistance protein 2) (Required for meiotic nuclear division protein 7)	endoplasmic reticulum membrane [GO:0005789]; GET complex [GO:0043529]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	protein anchor [GO:0043495]	protein insertion into ER membrane [GO:0045048]; retrograde vesicle-mediated transport, Golgi to ER [GO:0006890]	285	31,493
P40066	GLE2_YEAST	Nucleoporin GLE2 (Nuclear pore protein GLE2) (poly(A) RNA export protein RAE1)	cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]	RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]	nuclear pore distribution [GO:0031081]; poly(A)+ mRNA export from nucleus [GO:0016973]; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein import into nucleus [GO:0006606]; regulation of mRNA export from nucleus in response to heat stress [GO:2000728]; transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000972]	365	40,523
P47011	GLG2_YEAST	Glycogenin-2 (EC 2.4.1.186) (Glycogen synthesis initiator protein 2) (Glycogenin glucosyltransferase 2)	cytoplasm [GO:0005737]	glycogenin glucosyltransferase activity [GO:0008466]	glycogen biosynthetic process [GO:0005978]	380	44,546
P25373	GLRX1_YEAST	Glutaredoxin-1 (Glutathione-dependent oxidoreductase 1)	cytoplasm [GO:0005737]	disulfide oxidoreductase activity [GO:0015036]; electron carrier activity [GO:0009055]; glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; protein disulfide oxidoreductase activity [GO:0015035]	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; protein glutathionylation [GO:0010731]	110	12,38
Q03835	GLRX3_YEAST	Monothiol glutaredoxin-3	cytosol [GO:0005829]; nucleus [GO:0005634]	2 iron, 2 sulfur cluster binding [GO:0051537]; disulfide oxidoreductase activity [GO:0015036]; electron carrier activity [GO:0009055]; metal ion binding [GO:0046872]; protein disulfide oxidoreductase activity [GO:0015035]; RNA polymerase II activating transcription factor binding [GO:0001102]	actin cytoskeleton organization [GO:0030036]; cell redox homeostasis [GO:0045454]; cellular iron ion homeostasis [GO:0006879]; cellular response to oxidative stress [GO:0034599]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; positive regulation of histone deacetylation [GO:0031065]	250	28,261
P38068	GLRX7_YEAST	Monothiol glutaredoxin-7	cis-Golgi network [GO:0005801]; Golgi apparatus [GO:0005794]; Golgi lumen [GO:0005796]; integral component of membrane [GO:0016021]	2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; glutathione-disulfide reductase activity [GO:0004362]; metal ion binding [GO:0046872]; protein disulfide oxidoreductase activity [GO:0015035]; protein homodimerization activity [GO:0042803]	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]	203	22,565
P40107	GMT1_YEAST	GDP-mannose transporter 1 (GMT 1) (Low dye-binding protein 3) (Morphogenesis checkpoint-dependent protein 3) (Vanadate resistance glycosylation protein 4)	cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	GDP-mannose transmembrane transporter activity [GO:0005458]	carbohydrate transport [GO:0008643]; GDP-mannose transport [GO:0015784]; protein glycosylation [GO:0006486]	337	37,019
Q04839	GFD1_YEAST	mRNA transport factor GFD1 (Good for full DBP5 activity protein 1)	cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]		mRNA export from nucleus [GO:0006406]; protein transport [GO:0015031]	188	21,571
Q12051	GGPPS_YEAST	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (BET2 suppressor protein 1) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)	cytoplasm [GO:0005737]	dimethylallyltranstransferase activity [GO:0004161]; farnesyltranstransferase activity [GO:0004311]; geranyltranstransferase activity [GO:0004337]; metal ion binding [GO:0046872]	carotenoid biosynthetic process [GO:0016117]; farnesyl diphosphate biosynthetic process [GO:0045337]; geranyl diphosphate biosynthetic process [GO:0033384]; geranylgeranyl diphosphate biosynthetic process [GO:0033386]; protein transport [GO:0015031]; terpenoid biosynthetic process [GO:0016114]	335	38,651
Q03833	GIS1_YEAST	Transcriptional activator/repressor GIS1	cytosol [GO:0005829]; nucleus [GO:0005634]	histone demethylase activity (H3-K36 specific) [GO:0051864]; metal ion binding [GO:0046872]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001078]	chronological cell aging [GO:0001300]; histone demethylation [GO:0016577]; maintenance of stationary phase in response to starvation [GO:0060275]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of phospholipid biosynthetic process [GO:0071071]	894	99,481
Q04924	GLU2B_YEAST	Glucosidase 2 subunit beta (Alpha-glucosidase 2 subunit beta) (Alpha-glucosidase II subunit beta) (Glucosidase II subunit beta)	endoplasmic reticulum lumen [GO:0005788]; glucosidase II complex [GO:0017177]		N-glycan processing [GO:0006491]; polysaccharide biosynthetic process [GO:0000271]	702	79,907
P36125	GMH1_YEAST	Protein GMH1 (GEA1-6 membrane-associated high-copy suppressor protein 1)	endoplasmic reticulum membrane [GO:0005789]; integral component of Golgi membrane [GO:0030173]		transport [GO:0006810]	273	31,993
P32190	GLPK_YEAST	Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)	mitochondrion [GO:0005739]	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]	glycerol-3-phosphate biosynthetic process [GO:0046167]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; triglyceride metabolic process [GO:0006641]	709	79,824
Q05926	GLRX8_YEAST	Glutaredoxin-8 (Glutathione-dependent oxidoreductase 8)	cytoplasm [GO:0005737]	electron carrier activity [GO:0009055]; glutathione-disulfide reductase activity [GO:0004362]; protein disulfide oxidoreductase activity [GO:0015035]	cell redox homeostasis [GO:0045454]	109	12,519
Q12680	GLT1_YEAST	Glutamate synthase [NADH] (EC 1.4.1.14) (NADH-GOGAT)		3 iron, 4 sulfur cluster binding [GO:0051538]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; glutamate synthase (NADH) activity [GO:0016040]; iron ion binding [GO:0005506]	ammonia assimilation cycle [GO:0019676]; cellular amino acid biosynthetic process [GO:0008652]; glutamate biosynthetic process [GO:0006537]; L-glutamate biosynthetic process [GO:0097054]	2145	238,102
P38138	GLU2A_YEAST	Glucosidase 2 subunit alpha (EC 3.2.1.84) (Alpha-glucosidase II subunit alpha) (Glucosidase II subunit alpha) (Reversal of TOR2 lethality protein 2)	endoplasmic reticulum lumen [GO:0005788]; glucosidase II complex [GO:0017177]	carbohydrate binding [GO:0030246]; glucan 1,3-alpha-glucosidase activity [GO:0033919]	fungal-type cell wall beta-glucan biosynthetic process [GO:0070880]; N-glycan processing [GO:0006491]	954	110,266
P53839	GOR1_YEAST	Glyoxylate reductase 1 (EC 1.1.1.26)	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	glyoxylate reductase (NADP) activity [GO:0030267]; glyoxylate reductase activity [GO:0047964]; hydroxypyruvate reductase activity [GO:0016618]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	glyoxylate catabolic process [GO:0009436]	350	38,831
Q04080	GPI17_YEAST	GPI transamidase component GPI17	endoplasmic reticulum [GO:0005783]; GPI-anchor transamidase complex [GO:0042765]; integral component of membrane [GO:0016021]	GPI-anchor transamidase activity [GO:0003923]	attachment of GPI anchor to protein [GO:0016255]	534	60,814
P40036	GIP2_YEAST	GLC7-interacting protein 2	protein phosphatase type 1 complex [GO:0000164]	protein phosphatase regulator activity [GO:0019888]	glycogen metabolic process [GO:0005977]; protein dephosphorylation [GO:0006470]	548	62,319
P39732	GIP4_YEAST	GLC7-interacting protein 4	cytoplasm [GO:0005737]	protein phosphatase 1 binding [GO:0008157]; protein phosphatase type 1 regulator activity [GO:0008599]	chromosome segregation [GO:0007059]; regulation of phosphoprotein phosphatase activity [GO:0043666]	760	86,636
Q12418	GIS3_YEAST	Protein GIS3	cytoplasm [GO:0005737]; nucleus [GO:0005634]		intracellular signal transduction [GO:0035556]	502	56,357
P36143	GLG1_YEAST	Glycogenin-1 (EC 2.4.1.186) (Glycogen synthesis initiator protein 1) (Glycogenin glucosyltransferase 1)		glycogenin glucosyltransferase activity [GO:0008466]	glycogen biosynthetic process [GO:0005978]	616	69,724
Q05584	GLO2_YEAST	Hydroxyacylglutathione hydrolase, cytoplasmic isozyme (EC 3.1.2.6) (Glyoxalase II) (Glx II)	cytoplasm [GO:0005737]	hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872]	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	274	31,327
P48813	GNP1_YEAST	High-affinity glutamine permease	integral component of plasma membrane [GO:0005887]; mitochondrial membrane [GO:0031966]; plasma membrane [GO:0005886]; vacuole [GO:0005773]	amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; L-proline transmembrane transporter activity [GO:0015193]	amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	663	73,598
P38736	GOSR1_YEAST	Golgi SNAP receptor complex member 1 (Golgi SNARE protein 1) (Protein transport protein GOS1)	cis-Golgi network [GO:0005801]; Golgi medial cisterna [GO:0005797]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	ER to Golgi vesicle-mediated transport [GO:0006888]; Golgi vesicle transport [GO:0048193]; intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]; regulation of vesicle targeting, to, from or within Golgi [GO:0048209]; vesicle fusion [GO:0006906]	223	25,395
P51601	GCH1_YEAST	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	cytoplasm [GO:0005737]	GTP binding [GO:0005525]; GTP cyclohydrolase I activity [GO:0003934]; zinc ion binding [GO:0008270]	7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; folic acid biosynthetic process [GO:0046656]; folic acid-containing compound biosynthetic process [GO:0009396]; tetrahydrobiopterin biosynthetic process [GO:0006729]; tetrahydrofolate biosynthetic process [GO:0046654]	243	27,769
P07261	GCR1_YEAST	Glycolytic genes transcriptional activator GCR1	nuclear envelope [GO:0005635]	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]	negative regulation of transcription from RNA polymerase II promoter by glucose [GO:0000433]; nucleosome organization [GO:0034728]; positive regulation of ribosomal protein gene transcription from RNA polymerase II promoter [GO:0060963]; positive regulation of transcription from a mobile element promoter [GO:0061435]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter [GO:0072363]	785	87,729
P14065	GCY1_YEAST	Glycerol 2-dehydrogenase (NADP(+)) (EC 1.1.1.156) (Galactose-inducible crystallin-like protein 1)	cytoplasm [GO:0005737]	alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; aldo-keto reductase (NADP) activity [GO:0004033]; glycerol 2-dehydrogenase (NADP+) activity [GO:0047953]; glycerol dehydrogenase [NAD(P)+] activity [GO:1990042]; mRNA binding [GO:0003729]; oxidoreductase activity [GO:0016491]	arabinose catabolic process [GO:0019568]; cellular response to oxidative stress [GO:0034599]; D-xylose catabolic process [GO:0042843]; glycerol metabolic process [GO:0006071]	312	35,079
Q12434	GDIR_YEAST	Rho GDP-dissociation inhibitor (Rho GDI)	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytosol [GO:0005829]	GTPase activator activity [GO:0005096]; Rho GDP-dissociation inhibitor activity [GO:0005094]	actin filament organization [GO:0007015]; regulation of vacuole fusion, non-autophagic [GO:0032889]; small GTPase mediated signal transduction [GO:0007264]	202	23,138
P38812	GEP4_YEAST	Phosphatidylglycerophosphatase GEP4, mitochondrial (EC 3.1.3.27) (Genetic interactor of prohibitins 4) (PGP phosphatase GEP4)	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial matrix [GO:0005759]	phosphatidylglycerophosphatase activity [GO:0008962]	cardiolipin biosynthetic process [GO:0032049]; phosphorylated carbohydrate dephosphorylation [GO:0046838]	185	20,945
Q12263	GIN4_YEAST	Serine/threonine-protein kinase GIN4 (EC 2.7.11.1) (Growth inhibitory protein 4)	cellular bud neck [GO:0005935]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]	budding cell bud growth [GO:0007117]; intracellular signal transduction [GO:0035556]; morphogenesis checkpoint [GO:0044879]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; septin ring assembly [GO:0000921]	1142	129,858
Q04233	GIS4_YEAST	Protein GIS4	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]		cellular ion homeostasis [GO:0006873]; intracellular signal transduction [GO:0035556]	774	87,14
P38625	GUAA_YEAST	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	cytosol [GO:0005829]	ATP binding [GO:0005524]; GMP synthase (glutamine-hydrolyzing) activity [GO:0003922]; GMP synthase activity [GO:0003921]; pyrophosphatase activity [GO:0016462]	glutamine metabolic process [GO:0006541]; GMP biosynthetic process [GO:0006177]	525	58,482
P40531	GVP36_YEAST	Protein GVP36 (36 kDa Golgi vesicle protein)	integral component of Golgi membrane [GO:0030173]; transcription factor TFIID complex [GO:0005669]	histone acetyltransferase binding [GO:0035035]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]	endocytosis [GO:0006897]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; vacuole organization [GO:0007033]	326	36,67
P47026	GWT1_YEAST	GPI-anchored wall transfer protein 1 (EC 2.3.-.-)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	glucosaminyl-phosphotidylinositol O-acyltransferase activity [GO:0032216]	GPI anchor biosynthetic process [GO:0006506]	490	55,466
P43570	GYP8_YEAST	GTPase-activating protein GYP8	endoplasmic reticulum membrane [GO:0005789]; intracellular [GO:0005622]	GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]	ER to Golgi vesicle-mediated transport [GO:0006888]; vesicle-mediated transport [GO:0016192]	497	57,619
P04911	H2A1_YEAST	Histone H2A.1	nuclear nucleosome [GO:0000788]; replication fork protection complex [GO:0031298]	DNA binding [GO:0003677]	chromatin assembly or disassembly [GO:0006333]; DNA repair [GO:0006281]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transfer RNA gene-mediated silencing [GO:0061587]	132	13,989
P04912	H2A2_YEAST	Histone H2A.2	nuclear nucleosome [GO:0000788]; replication fork protection complex [GO:0031298]	DNA binding [GO:0003677]	chromatin assembly or disassembly [GO:0006333]; chromatin silencing [GO:0006342]; DNA repair [GO:0006281]	132	13,989
Q12692	H2AZ_YEAST	Histone H2A.Z	nuclear chromatin [GO:0000790]; nuclear euchromatin [GO:0005719]; nucleosome [GO:0000786]	chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]	chromatin modification [GO:0016569]; chromatin remodeling [GO:0006338]; chromatin silencing at silent mating-type cassette [GO:0030466]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; transcription, DNA-templated [GO:0006351]	134	14,283
P13434	HAP3_YEAST	Transcriptional activator HAP3 (UAS2 regulatory protein A)	CCAAT-binding factor complex [GO:0016602]	sequence-specific DNA binding [GO:0043565]	carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436]; regulation of cellular respiration [GO:0043457]; transcription from RNA polymerase II promoter [GO:0006366]	144	16,154
Q12341	HAT1_YEAST	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; histone acetyltransferase complex [GO:0000123]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]	chromatin binding [GO:0003682]; H4 histone acetyltransferase activity [GO:0010485]; histone acetyltransferase activity [GO:0004402]	chromatin silencing at telomere [GO:0006348]; DNA repair [GO:0006281]; histone acetylation [GO:0016573]	374	43,873
Q12276	HER1_YEAST	HMG2-induced ER-remodeling protein 1	cytoplasm [GO:0005737]		endoplasmic reticulum organization [GO:0007029]	1246	139,458
Q06629	HDA2_YEAST	HDA1 complex subunit 2 (Histone deacetylase complex 1 subunit 2)	cytosol [GO:0005829]; HDA1 complex [GO:0070823]; nucleus [GO:0005634]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]	gene silencing by RNA [GO:0031047]; gene silencing involved in chronological cell aging [GO:0010978]; histone deacetylation [GO:0016575]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription, DNA-templated [GO:0006351]	674	77,059
P09950	HEM1_YEAST	5-aminolevulinate synthase, mitochondrial (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	mitochondrial matrix [GO:0005759]	5-aminolevulinate synthase activity [GO:0003870]; pyridoxal phosphate binding [GO:0030170]	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	548	59,362
P28789	HEM3_YEAST	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)		hydroxymethylbilane synthase activity [GO:0004418]	heme biosynthetic process [GO:0006783]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]	327	36,675
P32874	HFA1_YEAST	Acetyl-CoA carboxylase, mitochondrial (ACC) (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)]	mitochondrion [GO:0005739]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	2273	259,163
P32479	HIR1_YEAST	Protein HIR1 (Histone transcription regulator 1)	chromosome, centromeric region [GO:0000775]; HIR complex [GO:0000417]; nucleus [GO:0005634]	transcription corepressor activity [GO:0003714]	chromatin modification [GO:0016569]; DNA replication-independent nucleosome assembly [GO:0006336]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription elongation from RNA polymerase II promoter [GO:0006368]	840	93,858
P00815	HIS2_YEAST	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]		ATP binding [GO:0005524]; histidinol dehydrogenase activity [GO:0004399]; NAD binding [GO:0051287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; phosphoribosyl-ATP diphosphatase activity [GO:0004636]; zinc ion binding [GO:0008270]	histidine biosynthetic process [GO:0000105]	799	87,721
Q12039	HMI1_YEAST	ATP-dependent DNA helicase HMI1, mitochondrial (EC 3.6.4.12)	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]	ATP binding [GO:0005524]; ATP-dependent 3'-5' DNA helicase activity [GO:0043140]; DNA binding [GO:0003677]	DNA repair [GO:0006281]; mitochondrial DNA metabolic process [GO:0032042]; mitochondrial genome maintenance [GO:0000002]	706	80,576
P47175	HMS2_YEAST	Probable transcription factor HMS2 (High-copy MEP suppressor 2)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	pseudohyphal growth [GO:0007124]	358	41,192
P32485	HOG1_YEAST	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24) (High osmolarity glycerol response protein 1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; MAP kinase activity [GO:0004707]	cellular response to heat [GO:0034605]; cellular response to osmotic stress [GO:0071470]; hyperosmotic response [GO:0006972]; osmosensory signaling pathway [GO:0007231]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress [GO:0061393]; protein phosphorylation [GO:0006468]; regulation of macroautophagy [GO:0016241]; regulation of nuclear cell cycle DNA replication [GO:0033262]; regulation of transcription from RNA polymerase II promoter in response to osmotic stress [GO:0061392]; response to arsenic-containing substance [GO:0046685]; transcription, DNA-templated [GO:0006351]	435	48,858
P06174	HEM4_YEAST	Uroporphyrinogen-III synthase (UROIIIS) (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)		uroporphyrinogen-III synthase activity [GO:0004852]	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]; uroporphyrinogen III biosynthetic process [GO:0006780]	275	30,912
P35843	HES1_YEAST	Protein HES1 (Oxysterol-binding protein homolog 5)		lipid binding [GO:0008289]; oxysterol binding [GO:0008142]; sterol transporter activity [GO:0015248]	endocytosis [GO:0006897]; exocytosis [GO:0006887]; maintenance of cell polarity [GO:0030011]; piecemeal microautophagy of nucleus [GO:0034727]; sterol biosynthetic process [GO:0016126]; sterol transport [GO:0015918]	434	49,505
P06775	HIP1_YEAST	Histidine permease	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; vacuole [GO:0005773]	antiporter activity [GO:0015297]; high-affinity L-histidine transmembrane transporter activity [GO:0005291]	histidine transport [GO:0015817]; manganese ion transport [GO:0006828]	603	66,006
P40545	HIS4_YEAST	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (5-proFAR isomerase) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	cytoplasm [GO:0005737]	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]; imidazoleglycerol-phosphate synthase activity [GO:0000107]	histidine biosynthetic process [GO:0000105]	261	29,557
P46973	HIT1_YEAST	Protein HIT1		metal ion binding [GO:0046872]	box C/D snoRNP assembly [GO:0000492]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	164	18,376
P0CY07	HMAL1_YEAST	Silenced mating-type protein ALPHA1 (MATalpha1 protein) (Alpha-1 activator)	nucleus [GO:0005634]	DNA binding, bending [GO:0008301]; transcription coactivator activity [GO:0003713]	positive regulation of mating-type specific transcription, DNA-templated [GO:0045895]; regulation of mating-type specific transcription, DNA-templated [GO:0007532]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; transcription, DNA-templated [GO:0006351]	175	20,413
P54839	HMCS_YEAST	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)		hydroxymethylglutaryl-CoA synthase activity [GO:0004421]	ergosterol biosynthetic process [GO:0006696]; isoprenoid biosynthetic process [GO:0008299]	491	55,014
P12684	HMDH2_YEAST	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 (HMG-CoA reductase 2) (EC 1.1.1.34)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; peroxisomal membrane [GO:0005778]	hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; NADP binding [GO:0050661]	coenzyme A metabolic process [GO:0015936]; ergosterol biosynthetic process [GO:0006696]; isoprenoid biosynthetic process [GO:0008299]	1045	115,692
P11353	HEM6_YEAST	Oxygen-dependent coproporphyrinogen-III oxidase (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	cytosol [GO:0005829]	coproporphyrinogen oxidase activity [GO:0004109]; protein homodimerization activity [GO:0042803]	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	328	37,712
Q04458	HFD1_YEAST	Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3)	endosome membrane [GO:0010008]; integral component of mitochondrial outer membrane [GO:0031307]; lipid particle [GO:0005811]	3-chloroallyl aldehyde dehydrogenase activity [GO:0004028]; aldehyde dehydrogenase (NAD) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; carboxylate reductase activity [GO:0047770]	aldehyde catabolic process [GO:0046185]; cellular aldehyde metabolic process [GO:0006081]	532	59,979
Q12060	HFI1_YEAST	Transcriptional coactivator HFI1/ADA1	Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]	transcription coactivator activity [GO:0003713]; transcription cofactor activity [GO:0003712]	chromatin organization [GO:0006325]; histone acetylation [GO:0016573]; regulation of transcription, DNA-templated [GO:0006355]; transcription from RNA polymerase II promoter [GO:0006366]	488	54,466
Q06674	HIM1_YEAST	Protein HIM1 (High induction of mutagenesis protein 1)			DNA repair [GO:0006281]	414	47,337
P48353	HLJ1_YEAST	Protein HLJ1	endoplasmic reticulum membrane [GO:0005789]	ATPase activator activity [GO:0001671]	ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]	224	25,008
Q04344	HNT1_YEAST	Hit family protein 1 (EC 3.-.-.-) (Adenosine 5'-monophosphoramidase)		hydrolase activity [GO:0016787]; nucleotide binding [GO:0000166]	nucleotide metabolic process [GO:0009117]	158	17,68
